key,scientificName,acceptedScientificName,taxonRank,infraspecificEpithet,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,eventDate,year,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordedBy,stateProvince,county,locality,issues,datasetKey,publishingOrgKey,license
6159549955,"Lagothrix lagothricha cana (É.Geoffroy Saint-Hilaire, 1812)","Lagothrix lagothricha cana (É.Geoffroy Saint-Hilaire, 1812)",SUBSPECIES,cana,-3.002224,-60.13222,31428.0,2026-02-11T00:31,2026.0,HUMAN_OBSERVATION,iNaturalist,Observations,338466982,wilmotsenaratne,Amazonas,,,"['COORDINATE_ROUNDED', 'CONTINENT_DERIVED_FROM_COORDINATES', 'TAXON_ID_NOT_FOUND']",50c9509d-22c7-4a22-a47d-8c48425ef4a7,28eb1a3f-1c15-4a95-931a-4af90ecb574d,http://creativecommons.org/licenses/by-nc/4.0/legalcode
6159554686,"Lagothrix lagothricha (Humboldt, 1812)","Lagothrix lagothricha (Humboldt, 1812)",SPECIES,,-2.8803,-60.123935,31431.0,2026-02-10T10:53:30,2026.0,HUMAN_OBSERVATION,iNaturalist,Observations,338085425,kezzaman,Amazonas,,,"['COORDINATE_ROUNDED', 'CONTINENT_DERIVED_FROM_COORDINATES', 'TAXON_ID_NOT_FOUND']",50c9509d-22c7-4a22-a47d-8c48425ef4a7,28eb1a3f-1c15-4a95-931a-4af90ecb574d,http://creativecommons.org/licenses/by-nc/4.0/legalcode
6159574904,"Lagothrix lagothricha cana (É.Geoffroy Saint-Hilaire, 1812)","Lagothrix lagothricha cana (É.Geoffroy Saint-Hilaire, 1812)",SUBSPECIES,cana,-2.827835,-60.013204,31431.0,2026-02-10T11:12:28,2026.0,HUMAN_OBSERVATION,iNaturalist,Observations,338250679,Justin Knott,Amazonas,,,"['COORDINATE_ROUNDED', 'CONTINENT_DERIVED_FROM_COORDINATES', 'TAXON_ID_NOT_FOUND']",50c9509d-22c7-4a22-a47d-8c48425ef4a7,28eb1a3f-1c15-4a95-931a-4af90ecb574d,http://creativecommons.org/licenses/by-nc/4.0/legalcode
6162925802,"Lagothrix lagothricha cana (É.Geoffroy Saint-Hilaire, 1812)","Lagothrix lagothricha cana (É.Geoffroy Saint-Hilaire, 1812)",SUBSPECIES,cana,-3.098895,-60.097638,31428.0,2026-02-11T00:31,2026.0,HUMAN_OBSERVATION,iNaturalist,Observations,339673525,wilmotsenaratne,Amazonas,,,"['COORDINATE_ROUNDED', 'CONTINENT_DERIVED_FROM_COORDINATES', 'TAXON_ID_NOT_FOUND']",50c9509d-22c7-4a22-a47d-8c48425ef4a7,28eb1a3f-1c15-4a95-931a-4af90ecb574d,http://creativecommons.org/licenses/by-nc/4.0/legalcode
6520650573,"Lagothrix lagothricha cana (É.Geoffroy Saint-Hilaire, 1812)","Lagothrix lagothricha cana (É.Geoffroy Saint-Hilaire, 1812)",SUBSPECIES,cana,-7.610657,-60.458943,31310.0,2026-06-28T12:04,2026.0,HUMAN_OBSERVATION,iNaturalist,Observations,382141018,Fernando Bondan,Amazonas,,,"['COORDINATE_ROUNDED', 'CONTINENT_DERIVED_FROM_COORDINATES', 'TAXON_ID_NOT_FOUND']",50c9509d-22c7-4a22-a47d-8c48425ef4a7,28eb1a3f-1c15-4a95-931a-4af90ecb574d,http://creativecommons.org/licenses/by/4.0/legalcode
5281842223,"Lagothrix lagothricha poeppigii Schinz, 1844","Lagothrix lagothricha poeppigii Schinz, 1844",SUBSPECIES,poeppigii,-7.570358,-73.639345,31317.0,2025-04-11T10:03,2025.0,HUMAN_OBSERVATION,iNaturalist,Observations,287375556,Paulo Mascaretti,Acre,,,"['COORDINATE_ROUNDED', 'CONTINENT_DERIVED_FROM_COORDINATES', 'TAXON_ID_NOT_FOUND']",50c9509d-22c7-4a22-a47d-8c48425ef4a7,28eb1a3f-1c15-4a95-931a-4af90ecb574d,http://creativecommons.org/licenses/by/4.0/legalcode
5187731098,"Lagothrix lagothricha cana (É.Geoffroy Saint-Hilaire, 1812)","Lagothrix lagothricha cana (É.Geoffroy Saint-Hilaire, 1812)",SUBSPECIES,cana,-8.552162,-60.835627,31279.0,2025-06-06T16:01,2025.0,HUMAN_OBSERVATION,iNaturalist,Observations,287624933,pfaucher,Amazonas,,,"['COORDINATE_ROUNDED', 'CONTINENT_DERIVED_FROM_COORDINATES', 'TAXON_ID_NOT_FOUND']",50c9509d-22c7-4a22-a47d-8c48425ef4a7,28eb1a3f-1c15-4a95-931a-4af90ecb574d,http://creativecommons.org/licenses/by-nc/4.0/legalcode
5206221565,"Lagothrix lagothricha cana (É.Geoffroy Saint-Hilaire, 1812)","Lagothrix lagothricha cana (É.Geoffroy Saint-Hilaire, 1812)",SUBSPECIES,cana,-8.565914,-60.954188,31279.0,2025-06-03T17:42,2025.0,HUMAN_OBSERVATION,iNaturalist,Observations,286671995,pfaucher,Amazonas,,,"['COORDINATE_ROUNDED', 'CONTINENT_DERIVED_FROM_COORDINATES', 'TAXON_ID_NOT_FOUND']",50c9509d-22c7-4a22-a47d-8c48425ef4a7,28eb1a3f-1c15-4a95-931a-4af90ecb574d,http://creativecommons.org/licenses/by-nc/4.0/legalcode
5291827394,"Lagothrix lagothricha cana (É.Geoffroy Saint-Hilaire, 1812)","Lagothrix lagothricha cana (É.Geoffroy Saint-Hilaire, 1812)",SUBSPECIES,cana,-7.776399,-60.23274,31310.0,2025-06-17T14:52:34,2025.0,HUMAN_OBSERVATION,iNaturalist,Observations,302710445,Kenny Uéslei,Amazonas,,,"['COORDINATE_ROUNDED', 'CONTINENT_DERIVED_FROM_COORDINATES', 'TAXON_ID_NOT_FOUND']",50c9509d-22c7-4a22-a47d-8c48425ef4a7,28eb1a3f-1c15-4a95-931a-4af90ecb574d,http://creativecommons.org/licenses/by-nc/4.0/legalcode
5216717492,"Lagothrix lagothricha cana (É.Geoffroy Saint-Hilaire, 1812)","Lagothrix lagothricha cana (É.Geoffroy Saint-Hilaire, 1812)",SUBSPECIES,cana,-6.012374,-49.888325,31362.0,2025-07-02T09:48,2025.0,HUMAN_OBSERVATION,iNaturalist,Observations,294862699,giuliaaoliveira,Pará,,,"['COORDINATE_ROUNDED', 'CONTINENT_DERIVED_FROM_COORDINATES', 'TAXON_ID_NOT_FOUND']",50c9509d-22c7-4a22-a47d-8c48425ef4a7,28eb1a3f-1c15-4a95-931a-4af90ecb574d,http://creativecommons.org/licenses/by-nc/4.0/legalcode
6334521547,"Lagothrix lagothricha cana (É.Geoffroy Saint-Hilaire, 1812)","Lagothrix lagothricha cana (É.Geoffroy Saint-Hilaire, 1812)",SUBSPECIES,cana,-9.873589,-58.248284,31218.0,2025-07-28T08:12,2025.0,HUMAN_OBSERVATION,iNaturalist,Observations,363957254,marcoseugenio,Mato Grosso,,,"['COORDINATE_ROUNDED', 'CONTINENT_DERIVED_FROM_COORDINATES', 'TAXON_ID_NOT_FOUND']",50c9509d-22c7-4a22-a47d-8c48425ef4a7,28eb1a3f-1c15-4a95-931a-4af90ecb574d,http://creativecommons.org/licenses/by-nc/4.0/legalcode
6334582555,"Lagothrix lagothricha cana (É.Geoffroy Saint-Hilaire, 1812)","Lagothrix lagothricha cana (É.Geoffroy Saint-Hilaire, 1812)",SUBSPECIES,cana,-2.812619,-60.097905,31431.0,2025-07-03T12:35,2025.0,HUMAN_OBSERVATION,iNaturalist,Observations,363946917,marcoseugenio,Amazonas,,,"['COORDINATE_ROUNDED', 'CONTINENT_DERIVED_FROM_COORDINATES', 'TAXON_ID_NOT_FOUND']",50c9509d-22c7-4a22-a47d-8c48425ef4a7,28eb1a3f-1c15-4a95-931a-4af90ecb574d,http://creativecommons.org/licenses/by-nc/4.0/legalcode
6130463967,"Lagothrix lagothricha cana (É.Geoffroy Saint-Hilaire, 1812)","Lagothrix lagothricha cana (É.Geoffroy Saint-Hilaire, 1812)",SUBSPECIES,cana,-9.915066,-58.239468,31218.0,2025-10-07T10:13,2025.0,HUMAN_OBSERVATION,iNaturalist,Observations,321883147,Sheelagh Halsey,Mato Grosso,,,"['COORDINATE_ROUNDED', 'CONTINENT_DERIVED_FROM_COORDINATES', 'TAXON_ID_NOT_FOUND']",50c9509d-22c7-4a22-a47d-8c48425ef4a7,28eb1a3f-1c15-4a95-931a-4af90ecb574d,http://creativecommons.org/licenses/by/4.0/legalcode
4596845684,"Lagothrix lagothricha cana (É.Geoffroy Saint-Hilaire, 1812)","Lagothrix lagothricha cana (É.Geoffroy Saint-Hilaire, 1812)",SUBSPECIES,cana,-8.733216,-63.789168,31271.0,2024-01-28T09:49,2024.0,HUMAN_OBSERVATION,iNaturalist,Observations,197887507,Pedro Bonavigo,Rondônia,,,"['COORDINATE_ROUNDED', 'CONTINENT_DERIVED_FROM_COORDINATES', 'TAXON_ID_NOT_FOUND']",50c9509d-22c7-4a22-a47d-8c48425ef4a7,28eb1a3f-1c15-4a95-931a-4af90ecb574d,http://creativecommons.org/licenses/by/4.0/legalcode
5087994456,"Lagothrix lagothricha cana (É.Geoffroy Saint-Hilaire, 1812)","Lagothrix lagothricha cana (É.Geoffroy Saint-Hilaire, 1812)",SUBSPECIES,cana,-7.408661,-60.763386,31317.0,2024-09-09T07:39,2024.0,HUMAN_OBSERVATION,iNaturalist,Observations,265633083,Fábio Olmos,Amazonas,,,"['COORDINATE_ROUNDED', 'CONTINENT_DERIVED_FROM_COORDINATES', 'TAXON_ID_NOT_FOUND']",50c9509d-22c7-4a22-a47d-8c48425ef4a7,28eb1a3f-1c15-4a95-931a-4af90ecb574d,http://creativecommons.org/licenses/by/4.0/legalcode
5104343302,"Lagothrix lagothricha cana (É.Geoffroy Saint-Hilaire, 1812)","Lagothrix lagothricha cana (É.Geoffroy Saint-Hilaire, 1812)",SUBSPECIES,cana,-8.146688,-60.46942,31295.0,2024-10-25T08:27,2024.0,HUMAN_OBSERVATION,iNaturalist,Observations,264207138,Glauko Corrêa|Proaves Rondoni,Amazonas,,,"['COORDINATE_ROUNDED', 'CONTINENT_DERIVED_FROM_COORDINATES', 'TAXON_ID_NOT_FOUND']",50c9509d-22c7-4a22-a47d-8c48425ef4a7,28eb1a3f-1c15-4a95-931a-4af90ecb574d,http://creativecommons.org/licenses/by-nc/4.0/legalcode
4138487755,"Lagothrix lagothricha cana (É.Geoffroy Saint-Hilaire, 1812)","Lagothrix lagothricha cana (É.Geoffroy Saint-Hilaire, 1812)",SUBSPECIES,cana,-7.594275,-60.641831,31317.0,2023-05-13T08:12,2023.0,HUMAN_OBSERVATION,iNaturalist,Observations,169312741,Huy Chi Truong,Amazonas,,,"['COORDINATE_ROUNDED', 'CONTINENT_DERIVED_FROM_COORDINATES', 'TAXON_ID_NOT_FOUND']",50c9509d-22c7-4a22-a47d-8c48425ef4a7,28eb1a3f-1c15-4a95-931a-4af90ecb574d,http://creativecommons.org/licenses/by-nc/4.0/legalcode
4400188055,"Lagothrix lagothricha (Humboldt, 1812)","Lagothrix lagothricha (Humboldt, 1812)",SPECIES,,-2.985003,-60.065798,31431.0,2023-07-04T18:37,2023.0,HUMAN_OBSERVATION,iNaturalist,Observations,179712093,capybara1357,Amazonas,,,"['COORDINATE_ROUNDED', 'CONTINENT_DERIVED_FROM_COORDINATES', 'TAXON_ID_NOT_FOUND']",50c9509d-22c7-4a22-a47d-8c48425ef4a7,28eb1a3f-1c15-4a95-931a-4af90ecb574d,http://creativecommons.org/licenses/by-nc/4.0/legalcode
4507664157,"Lagothrix lagothricha cana (É.Geoffroy Saint-Hilaire, 1812)","Lagothrix lagothricha cana (É.Geoffroy Saint-Hilaire, 1812)",SUBSPECIES,cana,-9.981236,-58.305924,31218.0,2023-08-11T10:20,2023.0,HUMAN_OBSERVATION,iNaturalist,Observations,195118933,Rachel Kolokoff Hopper,Mato Grosso,,,"['COORDINATE_ROUNDED', 'CONTINENT_DERIVED_FROM_COORDINATES', 'TAXON_ID_NOT_FOUND']",50c9509d-22c7-4a22-a47d-8c48425ef4a7,28eb1a3f-1c15-4a95-931a-4af90ecb574d,http://creativecommons.org/licenses/by-nc/4.0/legalcode
4507675025,"Lagothrix lagothricha cana (É.Geoffroy Saint-Hilaire, 1812)","Lagothrix lagothricha cana (É.Geoffroy Saint-Hilaire, 1812)",SUBSPECIES,cana,-9.854571,-58.367174,31218.0,2023-08-11T10:32,2023.0,HUMAN_OBSERVATION,iNaturalist,Observations,195124868,Rachel Kolokoff Hopper,Mato Grosso,,,"['COORDINATE_ROUNDED', 'CONTINENT_DERIVED_FROM_COORDINATES', 'TAXON_ID_NOT_FOUND']",50c9509d-22c7-4a22-a47d-8c48425ef4a7,28eb1a3f-1c15-4a95-931a-4af90ecb574d,http://creativecommons.org/licenses/by-nc/4.0/legalcode
6333924312,"Lagothrix lagothricha cana (É.Geoffroy Saint-Hilaire, 1812)","Lagothrix lagothricha cana (É.Geoffroy Saint-Hilaire, 1812)",SUBSPECIES,cana,-9.998415,-58.311712,31218.0,2023-08-11T10:20:59,2023.0,HUMAN_OBSERVATION,iNaturalist,Observations,363324877,David Blue,Mato Grosso,,,"['COORDINATE_ROUNDED', 'CONTINENT_DERIVED_FROM_COORDINATES', 'TAXON_ID_NOT_FOUND']",50c9509d-22c7-4a22-a47d-8c48425ef4a7,28eb1a3f-1c15-4a95-931a-4af90ecb574d,http://creativecommons.org/licenses/by-nc/4.0/legalcode
