gml_id,docleg_id,uc_id,cd_cnuc,wdpa_pid,nome_uc,cria_ano,cria_ato,outro_ato,pl_manejo,co_gestor,quali_pol,ppgr,ha_total,ha_ato,esfera,uf,municipio,org_gestor,grupo,categoria,cat_iucn,amazonia,caatinga,cerrado,matlantica,pampa,pantanal,marinho,situacao,limite
,5855,2121,0000.00.2121,555600252,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL ILHAS ALEXANDRE RODRIGUES FERREIRA,17-08-2009,Portaria 67 de 13-08-2009,Sem informação,Sem informação,Sem informação,Polígono corresponde ao memorial descritivo,Sítio Ramsar Rio Negro,302.37,280.9,Federal,AMAZONAS,BARCELOS (AM),INSTITUTO CHICO MENDES DE CONSERVAÇÃO DA BIODIVERSIDADE,Uso Sustentável,Reserva Particular do Patrimônio Natural,Category IV,302.37,,,,,,,Ativo,uc
,8737,1633,0000.00.1633,478431,PARQUE NACIONAL MAPINGUARI,06-06-2008,Decreto S/N de 05-06-2008,"Lei ordinária 12.249 de 11-06-2010 Ampliação , Lei ordinária 12678 de 25-06-2012 Revisão dos limites",Sem informação,Sim,Polígono corresponde ao memorial descritivo,Programa ARPA - Áreas Protegidas da Amazônia,1776910.95,1572422,Federal,"AMAZONAS, RONDÔNIA","CANUTAMA (AM), LÁBREA (AM), PORTO VELHO (RO)",INSTITUTO CHICO MENDES DE CONSERVAÇÃO DA BIODIVERSIDADE,Proteção Integral,Parque,Category II,5345747.35,,,,,,,Ativo,uc
,31669,10727,0000.00.1454,555682666,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RESERVA DOS ARQUEIROS,04-06-2001,Portaria 74 de 23-05-2001,Sem informação,Não,Sem informação,Polígono é uma estimativa dos limites da UC,,24.01,25,Federal,AMAZONAS,PRESIDENTE FIGUEIREDO (AM),INSTITUTO CHICO MENDES DE CONSERVAÇÃO DA BIODIVERSIDADE,Uso Sustentável,Reserva Particular do Patrimônio Natural,Category IV,23.55,,,,,,,Ativo,uc
,31697,10751,0000.00.2709,555600172,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL NOVA AURORA,27-12-2011,Portaria 110 de 26-12-2011,Sem informação,Não,Sem informação,Polígono corresponde ao memorial descritivo,,18.53,18.52,Federal,RONDÔNIA,PRESIDENTE MÉDICI (RO),INSTITUTO CHICO MENDES DE CONSERVAÇÃO DA BIODIVERSIDADE,Uso Sustentável,Reserva Particular do Patrimônio Natural,Category IV,18.53,,,,,,,Ativo,uc
,31725,10773,0000.00.1449,555682588,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL SANTUÁRIO,05-10-1998,Portaria 139-N de 02-10-1998,Sem informação,Não,Sem informação,Polígono é uma estimativa dos limites da UC,,57.65,60,Federal,AMAZONAS,PRESIDENTE FIGUEIREDO (AM),INSTITUTO CHICO MENDES DE CONSERVAÇÃO DA BIODIVERSIDADE,Uso Sustentável,Reserva Particular do Patrimônio Natural,Category IV,56.54,,,,,,,Ativo,uc
,31899,10908,0000.00.1455,555682667,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RESERVA SOL NASCENTE,04-06-2001,Portaria 75 de 23-05-2001,Sem informação,Não,Sem informação,Polígono é uma estimativa dos limites da UC,,19.21,20,Federal,AMAZONAS,PRESIDENTE FIGUEIREDO (AM),INSTITUTO CHICO MENDES DE CONSERVAÇÃO DA BIODIVERSIDADE,Uso Sustentável,Reserva Particular do Patrimônio Natural,Category IV,18.84,,,,,,,Ativo,uc
,32297,11230,0000.00.1450,555682593,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL DR. DAISAKU IKEDA,14-07-1995,Portaria 49 de 12-07-1995,Sem informação,Não,Sem informação,Polígono é uma estimativa dos limites da UC,,50.03,52.06,Federal,AMAZONAS,MANAUS (AM),INSTITUTO CHICO MENDES DE CONSERVAÇÃO DA BIODIVERSIDADE,Uso Sustentável,Reserva Particular do Patrimônio Natural,Category IV,49.07,,,,,,,Ativo,uc
,32429,11331,0000.00.1446,555682594,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL ESTÂNCIA RIVAS,25-06-1997,Portaria 66-N de 24-06-1997,Sem informação,Não,Sem informação,Polígono é uma estimativa dos limites da UC,,96.05,100.01,Federal,AMAZONAS,PRESIDENTE FIGUEIREDO (AM),INSTITUTO CHICO MENDES DE CONSERVAÇÃO DA BIODIVERSIDADE,Uso Sustentável,Reserva Particular do Patrimônio Natural,Category IV,94.2,,,,,,,Ativo,uc
,32464,11358,0000.00.1453,555682589,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RESERVA DOS QUATRO ELEMENTOS,04-06-2001,Portaria 71 de 23-05-2001,Sem informação,Não,Sem informação,Polígono é uma estimativa dos limites da UC,,24.01,25,Federal,AMAZONAS,PRESIDENTE FIGUEIREDO (AM),INSTITUTO CHICO MENDES DE CONSERVAÇÃO DA BIODIVERSIDADE,Uso Sustentável,Reserva Particular do Patrimônio Natural,Category IV,23.55,,,,,,,Ativo,uc
,32598,11468,0000.00.2708,555599958,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL GIBEÃO,15-06-2012,Portaria 68 de 14-06-2012,Sem informação,Não,Sem informação,Polígono corresponde ao memorial descritivo,,31.32,31.29,Federal,RONDÔNIA,PRESIDENTE MÉDICI (RO),INSTITUTO CHICO MENDES DE CONSERVAÇÃO DA BIODIVERSIDADE,Uso Sustentável,Reserva Particular do Patrimônio Natural,Category IV,31.32,,,,,,,Ativo,uc
,32618,11482,0000.00.1133,555682564,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL ÁGUA BOA,31-03-2000,Portaria 21 de 30-03-2000,Sem informação,Não,Sem informação,Polígono é uma estimativa dos limites da UC,,45.42,47.52,Federal,RONDÔNIA,CACOAL (RO),INSTITUTO CHICO MENDES DE CONSERVAÇÃO DA BIODIVERSIDADE,Uso Sustentável,Reserva Particular do Patrimônio Natural,Category IV,44.54,,,,,,,Ativo,uc
,32878,11689,0000.00.1447,555682586,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RESERVA DR. PHELIPPE DAOU,28-02-2001,Portaria 17 de 23-02-2001,Sem informação,Não,Sem informação,Polígono é uma estimativa dos limites da UC,,64.83,67.5,Federal,AMAZONAS,PRESIDENTE FIGUEIREDO (AM),INSTITUTO CHICO MENDES DE CONSERVAÇÃO DA BIODIVERSIDADE,Uso Sustentável,Reserva Particular do Patrimônio Natural,Category IV,63.58,,,,,,,Ativo,uc
,32898,11705,0000.00.3090,555600030,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL IRMÃOS SATELIS,09-11-2012,Portaria 122 de 08-11-2012,Sem informação,Não,Sem informação,Polígono corresponde ao memorial descritivo,,41.13,41.09,Federal,RONDÔNIA,PRESIDENTE MÉDICI (RO),INSTITUTO CHICO MENDES DE CONSERVAÇÃO DA BIODIVERSIDADE,Uso Sustentável,Reserva Particular do Patrimônio Natural,Category IV,41.13,,,,,,,Ativo,uc
,32941,11738,0000.00.2105,555600112,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL FAZENDA BOSCO,02-05-2005,Portaria 32 de 29-04-2005,Sem informação,Não,Sem informação,Polígono corresponde ao memorial descritivo,,486.82,486.72,Federal,RONDÔNIA,ALTO ALEGRE DOS PARECIS (RO),INSTITUTO CHICO MENDES DE CONSERVAÇÃO DA BIODIVERSIDADE,Uso Sustentável,Reserva Particular do Patrimônio Natural,Category IV,486.82,,,,,,,Ativo,uc
,32957,11752,0000.00.1130,555682812,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL VALE DAS ANTAS,19-07-1999,Portaria 61-N de 16-07-1999,Sem informação,Não,Sem informação,Polígono é uma estimativa dos limites da UC,,62.46,65.66,Federal,RONDÔNIA,TEIXEIRÓPOLIS (RO),INSTITUTO CHICO MENDES DE CONSERVAÇÃO DA BIODIVERSIDADE,Uso Sustentável,Reserva Particular do Patrimônio Natural,Category IV,61.26,,,,,,,Ativo,uc
,32969,11762,0000.00.1456,555682592,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL LAÇO DE AMOR,31-03-2000,Portaria 22 de 30-03-2000,Sem informação,Não,Sem informação,Polígono é uma estimativa dos limites da UC,,7.68,8,Federal,AMAZONAS,MANAUS (AM),INSTITUTO CHICO MENDES DE CONSERVAÇÃO DA BIODIVERSIDADE,Uso Sustentável,Reserva Particular do Patrimônio Natural,Category IV,7.54,,,,,,,Ativo,uc
,33019,11804,0000.00.1131,555682803,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL SERINGAL ASSUNÇÃO,19-06-1997,Portaria 63 de 18-06-1997,Sem informação,Não,Sem informação,Polígono é uma estimativa dos limites da UC,,590.43,623.24,Federal,RONDÔNIA,PORTO VELHO (RO),INSTITUTO CHICO MENDES DE CONSERVAÇÃO DA BIODIVERSIDADE,Uso Sustentável,Reserva Particular do Patrimônio Natural,Category IV,590.43,,,,,,,Ativo,uc
,33285,12004,0000.00.1451,555682585,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL SÍTIO MORADA DO SOL,25-10-1996,Portaria 88-N de 24-10-1996,Sem informação,Não,Sem informação,Polígono é uma estimativa dos limites da UC,,41.89,43.55,Federal,AMAZONAS,PRESIDENTE FIGUEIREDO (AM),INSTITUTO CHICO MENDES DE CONSERVAÇÃO DA BIODIVERSIDADE,Uso Sustentável,Reserva Particular do Patrimônio Natural,Category IV,41.09,,,,,,,Ativo,uc
,33365,12070,0000.00.1457,555682533,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL MORADA DO SOL E DA LUA,04-06-2001,Portaria 67 de 21-05-2001,Sem informação,Não,Sem informação,Polígono é uma estimativa dos limites da UC,,6.72,7,Federal,AMAZONAS,PRESIDENTE FIGUEIREDO (AM),INSTITUTO CHICO MENDES DE CONSERVAÇÃO DA BIODIVERSIDADE,Uso Sustentável,Reserva Particular do Patrimônio Natural,Category IV,6.34,,,,,,,Ativo,uc
,38659,15316,0000.00.4522,555759058,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL AJURICABA,17-08-2009,Portaria 67 de 13-08-2009,Sem informação,Não,Não,Polígono corresponde ao memorial descritivo,,302.37,280.9,Federal,AMAZONAS,BARCELOS (AM),INSTITUTO CHICO MENDES DE CONSERVAÇÃO DA BIODIVERSIDADE,Uso Sustentável,Reserva Particular do Patrimônio Natural,Category IV,302.66,,,,,,,Ativo,uc
,38693,15340,0000.00.4534,555759131,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL FRIGONOSSO,01-02-2019,Portaria 48 de 31-01-2019,Sem informação,Não,Não,Polígono corresponde ao memorial descritivo,,558.06,558.06,Federal,RONDÔNIA,PORTO VELHO (RO),INSTITUTO CHICO MENDES DE CONSERVAÇÃO DA BIODIVERSIDADE,Uso Sustentável,Reserva Particular do Patrimônio Natural,Category IV,558.06,,,,,,,Ativo,uc
,39005,15457,0000.00.0274,351759,RESERVA EXTRATIVISTA DO ALTO TARAUACÁ,09-11-2000,Decreto S/N de 08-11-2000,Sem informação,Sim,Sim,Polígono corresponde ao memorial descritivo,Programa ARPA - Áreas Protegidas da Amazônia,154131.6,151199.64,Federal,ACRE,"JORDÃO (AC), MARECHAL THAUMATURGO (AC), TARAUACÁ (AC)",INSTITUTO CHICO MENDES DE CONSERVAÇÃO DA BIODIVERSIDADE,Uso Sustentável,Reserva Extrativista,Category VI,154136.65,,,,,,,Ativo,uc
