especie,latitude,longitude,dentro_de_uc,UC (se aplicavel),pais,estado_departamento,ano,tipo_registro,incerteza_m,dataset_origem,gbifID
Alouatta belzebul,-2.81667,-60.66667,True,PARQUE NACIONAL DE ANAVILHANAS,BR,,,PRESERVED_SPECIMEN,4614.0,,1987290748
Alouatta belzebul,-0.261158,-60.761158,False,(fora das UCs de estudo),BR,,2024.0,HUMAN_OBSERVATION,,TNE|Dados do Programa de Resgate e Afugentamento de Fauna da Linha de Transmissão 500 kV Manaus – Boa Vista,5908492364
Alouatta belzebul,-0.261547,-60.761547,False,(fora das UCs de estudo),BR,,2024.0,HUMAN_OBSERVATION,,TNE|Dados do Programa de Resgate e Afugentamento de Fauna da Linha de Transmissão 500 kV Manaus – Boa Vista,5908493646
Alouatta belzebul,-0.261158,-60.761158,False,(fora das UCs de estudo),BR,,2024.0,HUMAN_OBSERVATION,,TNE|Dados do Programa de Resgate e Afugentamento de Fauna da Linha de Transmissão 500 kV Manaus – Boa Vista,5908495248
Alouatta belzebul,-0.261252,-60.761252,False,(fora das UCs de estudo),BR,,2024.0,HUMAN_OBSERVATION,,TNE|Dados do Programa de Resgate e Afugentamento de Fauna da Linha de Transmissão 500 kV Manaus – Boa Vista,5908495601
Alouatta belzebul,-0.261191,-60.761191,False,(fora das UCs de estudo),BR,,2024.0,HUMAN_OBSERVATION,,TNE|Dados do Programa de Resgate e Afugentamento de Fauna da Linha de Transmissão 500 kV Manaus – Boa Vista,5908495671
Alouatta belzebul,-0.261252,-60.761252,False,(fora das UCs de estudo),BR,,2024.0,HUMAN_OBSERVATION,,TNE|Dados do Programa de Resgate e Afugentamento de Fauna da Linha de Transmissão 500 kV Manaus – Boa Vista,5908495700
Alouatta belzebul,-1.415816,-60.340697,False,(fora das UCs de estudo),BR,,2024.0,HUMAN_OBSERVATION,,TNE|Dados do Programa de Resgate e Afugentamento de Fauna da Linha de Transmissão 500 kV Manaus – Boa Vista,5908493067
Alouatta belzebul,-1.379753,-60.363716,False,(fora das UCs de estudo),BR,,2024.0,HUMAN_OBSERVATION,,TNE|Dados do Programa de Resgate e Afugentamento de Fauna da Linha de Transmissão 500 kV Manaus – Boa Vista,5908493114
Alouatta belzebul,-1.379753,-60.363716,False,(fora das UCs de estudo),BR,,2024.0,HUMAN_OBSERVATION,,TNE|Dados do Programa de Resgate e Afugentamento de Fauna da Linha de Transmissão 500 kV Manaus – Boa Vista,5908493904
