genero,genusKey,taxonKey,canonicalName,scientificName,family
Alouatta,2436647,2436648,Alouatta seniculus,"Alouatta seniculus (Linnaeus, 1766)",Atelidae
Alouatta,2436647,2436649,Alouatta palliata,"Alouatta palliata (Gray, 1849)",Atelidae
Alouatta,2436647,2436651,Alouatta sara,"Alouatta sara Elliot, 1910",Atelidae
Alouatta,2436647,2436652,Alouatta caraya,"Alouatta caraya (Humboldt, 1812)",Atelidae
Alouatta,2436647,2436653,Alouatta pigra,"Alouatta pigra Lawrence, 1933",Atelidae
Alouatta,2436647,2436655,Alouatta belzebul,"Alouatta belzebul (Linnaeus, 1766)",Atelidae
Alouatta,2436647,4267236,Alouatta nigerrima,"Alouatta nigerrima Lönnberg, 1941",Atelidae
Alouatta,2436647,4827329,Alouatta arctoidea,"Alouatta arctoidea Cabrera, 1940",Atelidae
Alouatta,2436647,5786091,Alouatta discolor,"Alouatta discolor (Spix, 1823)",Atelidae
Alouatta,2436647,5786093,Alouatta puruensis,"Alouatta puruensis Lönnberg, 1941",Atelidae
Alouatta,2436647,5786098,Alouatta ululata,"Alouatta ululata Elliot, 1912",Atelidae
Alouatta,2436647,7262055,Alouatta guariba,"Alouatta guariba (Humboldt, 1812)",Atelidae
Alouatta,2436647,7913455,Alouatta macconnelli,"Alouatta macconnelli Elliot, 1910",Atelidae
Alouatta,2436647,8644641,Alouatta mauroi,"Alouatta mauroi Tejedor et al., 2008",Atelidae
Ateles,2436640,2436641,Ateles fusciceps,"Ateles fusciceps Gray, 1866",Atelidae
Ateles,2436640,2436642,Ateles belzebuth,"Ateles belzebuth É.Geoffroy Saint-Hilaire, 1806",Atelidae
Ateles,2436640,2436643,Ateles geoffroyi,"Ateles geoffroyi Kuhl, 1820",Atelidae
Ateles,2436640,2436644,Ateles marginatus,"Ateles marginatus É.Geoffroy Saint-Hilaire, 1809",Atelidae
Ateles,2436640,2436645,Ateles paniscus,"Ateles paniscus (Linnaeus, 1758)",Atelidae
Ateles,2436640,2436646,Ateles chamek,"Ateles chamek (Humboldt, 1812)",Atelidae
Ateles,2436640,4267251,Ateles hybridus,"Ateles hybridus I.Geoffroy Saint-Hilaire, 1829",Atelidae
Ateles,2436640,9213729,Ateles grisescens,"Ateles grisescens Gray, 1866",Atelidae
Lagothrix,2436656,2436657,Lagothrix flavicauda,"Lagothrix flavicauda (Humboldt, 1812)",Atelidae
