species,ESTAÇÃO ECOLÓGICA DE CUNIÃ,ESTAÇÃO ECOLÓGICA DE JUTAÍ-SOLIMÕES,ESTAÇÃO ECOLÓGICA JUAMI-JAPURÁ,ESTAÇÃO ECOLÓGICA RIO ACRE,FLORESTA NACIONAL DE JACUNDÁ,FLORESTA NACIONAL DE PAU-ROSA,FLORESTA NACIONAL DE SÃO FRANCISCO,FLORESTA NACIONAL DE TEFÉ,FLORESTA NACIONAL DO AMAZONAS,FLORESTA NACIONAL DO ARIPUANÃ,FLORESTA NACIONAL DO IQUIRI,FLORESTA NACIONAL DO JAMARI,FLORESTA NACIONAL DO PURÚS,FLORESTA NACIONAL MAPIÁ - INAUINI,PARQUE NACIONAL DA AMAZÔNIA,PARQUE NACIONAL DA SERRA DO DIVISOR,PARQUE NACIONAL DE ANAVILHANAS,PARQUE NACIONAL DE PACAÁS NOVOS,PARQUE NACIONAL DO ACARI,PARQUE NACIONAL DO JAÚ,PARQUE NACIONAL DO JURUENA,PARQUE NACIONAL DO PICO DA NEBLINA,PARQUE NACIONAL DOS CAMPOS AMAZÔNICOS,PARQUE NACIONAL MAPINGUARI,RESERVA BIOLÓGICA DO ABUFARI,RESERVA BIOLÓGICA DO GUAPORÉ,RESERVA BIOLÓGICA DO JARU,RESERVA BIOLÓGICA DO UATUMÃ,RESERVA EXTRATIVISTA ARAPIXI,RESERVA EXTRATIVISTA BAIXO RIO BRANCO-JAUAPERI,RESERVA EXTRATIVISTA CHICO MENDES,RESERVA EXTRATIVISTA DO ALTO JURUÁ,RESERVA EXTRATIVISTA DO BAIXO JURUÁ,RESERVA EXTRATIVISTA DO CAZUMBÁ-IRACEMA,RESERVA EXTRATIVISTA DO LAGO DO CAPANÃ GRANDE,RESERVA EXTRATIVISTA DO LAGO DO CUNIÃ,RESERVA EXTRATIVISTA DO MÉDIO JURUÁ,RESERVA EXTRATIVISTA DO MÉDIO PURÚS,RESERVA EXTRATIVISTA DO RIO DO CAUTÁRIO,RESERVA EXTRATIVISTA DO RIO JUTAÍ,RESERVA EXTRATIVISTA RIOZINHO DA LIBERDADE,ÁREA DE RELEVANTE INTERESSE ECOLÓGICO JAVARI BURITI,ÁREA DE RELEVANTE INTERESSE ECOLÓGICO PROJETO DINÂMICA BIOLÓGICA DE FRAGMENTOS FLORESTAIS
Alouatta belzebul,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alouatta caraya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alouatta macconnelli,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Alouatta nigerrima,0,0,0,0,0,2,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alouatta puruensis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Alouatta seniculus,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,1,0,2,0,5,0,0,2,0,0,0,0,0,3,0,1,0,0,0,1,0,1,2,0,0,1
Aotus azarae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
Aotus nancymai,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Aotus nigriceps,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0
Aotus trivirgatus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aotus vociferans,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ateles belzebuth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
