genero_consultado,key,scientificName,species,taxonKey,speciesKey,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,year,basisOfRecord,datasetName,level1Name,countryCode
Alouatta,6130904695,"Alouatta seniculus puruensis Lönnberg, 1941",Alouatta seniculus,5786096,2436648,-10.733186,-62.222071,196.0,2026,HUMAN_OBSERVATION,iNaturalist research-grade observations,,BR
Alouatta,6133325831,"Alouatta seniculus juara Elliot, 1910",Alouatta seniculus,4267231,2436648,-3.235792,-60.002412,,2026,HUMAN_OBSERVATION,iNaturalist research-grade observations,,BR
Alouatta,6431360850,"Alouatta seniculus (Linnaeus, 1766)",Alouatta seniculus,2436648,2436648,-11.759639,-70.811995,312437.0,2026,HUMAN_OBSERVATION,iNaturalist research-grade observations,,PE
Alouatta,6163104722,"Alouatta seniculus (Linnaeus, 1766)",Alouatta seniculus,2436648,2436648,2.578845,-72.676214,4.0,2026,HUMAN_OBSERVATION,iNaturalist research-grade observations,,CO
Alouatta,6170926287,"Alouatta seniculus (Linnaeus, 1766)",Alouatta seniculus,2436648,2436648,-4.406028,-73.397375,,2026,HUMAN_OBSERVATION,iNaturalist research-grade observations,,PE
Alouatta,6171268066,"Alouatta seniculus (Linnaeus, 1766)",Alouatta seniculus,2436648,2436648,-3.548419,-72.345426,58523.0,2026,HUMAN_OBSERVATION,iNaturalist research-grade observations,,PE
Alouatta,6519351936,"Alouatta seniculus (Linnaeus, 1766)",Alouatta seniculus,2436648,2436648,3.17279,-73.8752,350.0,2026,HUMAN_OBSERVATION,iNaturalist research-grade observations,,CO
Alouatta,6178654595,"Alouatta seniculus juara Elliot, 1910",Alouatta seniculus,4267231,2436648,-3.235772,-60.022586,4.0,2026,HUMAN_OBSERVATION,iNaturalist research-grade observations,,BR
Alouatta,6178851999,"Alouatta seniculus juara Elliot, 1910",Alouatta seniculus,4267231,2436648,-3.23585,-60.002153,4.0,2026,HUMAN_OBSERVATION,iNaturalist research-grade observations,,BR
Alouatta,6184891994,"Alouatta seniculus (Linnaeus, 1766)",Alouatta seniculus,2436648,2436648,2.237285,-73.725029,31.0,2026,HUMAN_OBSERVATION,iNaturalist research-grade observations,,CO
Alouatta,6185162926,"Alouatta seniculus (Linnaeus, 1766)",Alouatta seniculus,2436648,2436648,2.236856,-73.724861,61.0,2026,HUMAN_OBSERVATION,iNaturalist research-grade observations,,CO
Alouatta,6185539394,"Alouatta seniculus (Linnaeus, 1766)",Alouatta seniculus,2436648,2436648,2.237765,-73.724795,31.0,2026,HUMAN_OBSERVATION,iNaturalist research-grade observations,,CO
Alouatta,6185567732,"Alouatta seniculus (Linnaeus, 1766)",Alouatta seniculus,2436648,2436648,2.237156,-73.725041,31.0,2026,HUMAN_OBSERVATION,iNaturalist research-grade observations,,CO
Alouatta,6469696424,"Alouatta seniculus (Linnaeus, 1766)",Alouatta seniculus,2436648,2436648,2.237029,-73.724881,61.0,2026,HUMAN_OBSERVATION,iNaturalist research-grade observations,,CO
Alouatta,6195982596,"Alouatta seniculus (Linnaeus, 1766)",Alouatta seniculus,2436648,2436648,-12.569266,-70.100116,18.0,2026,HUMAN_OBSERVATION,iNaturalist research-grade observations,,PE
Alouatta,6399798607,"Alouatta seniculus (Linnaeus, 1766)",Alouatta seniculus,2436648,2436648,2.117733,-74.564638,1888.0,2026,HUMAN_OBSERVATION,iNaturalist research-grade observations,,CO
Alouatta,6413258593,"Alouatta seniculus juara Elliot, 1910",Alouatta seniculus,4267231,2436648,-3.095459,-60.440825,,2026,HUMAN_OBSERVATION,iNaturalist research-grade observations,,BR
Alouatta,6470642520,"Alouatta seniculus (Linnaeus, 1766)",Alouatta seniculus,2436648,2436648,-12.52012,-68.979642,,2026,HUMAN_OBSERVATION,iNaturalist research-grade observations,,PE
Alouatta,6320626368,"Alouatta seniculus juara Elliot, 1910",Alouatta seniculus,4267231,2436648,-3.234495,-60.017925,4.0,2026,HUMAN_OBSERVATION,iNaturalist research-grade observations,,BR
Alouatta,6320755937,"Alouatta seniculus juara Elliot, 1910",Alouatta seniculus,4267231,2436648,-3.10318,-60.431953,8.0,2026,HUMAN_OBSERVATION,iNaturalist research-grade observations,,BR
Alouatta,6320825484,"Alouatta seniculus puruensis Lönnberg, 1941",Alouatta seniculus,5786096,2436648,-11.634716,-62.07508,16.0,2026,HUMAN_OBSERVATION,iNaturalist research-grade observations,,BR
Alouatta,6399580873,"Alouatta seniculus (Linnaeus, 1766)",Alouatta seniculus,2436648,2436648,-12.793358,-69.289105,2011.0,2026,HUMAN_OBSERVATION,iNaturalist research-grade observations,,PE
Alouatta,6413036517,"Alouatta seniculus puruensis Lönnberg, 1941",Alouatta seniculus,5786096,2436648,-10.049951,-68.157172,40737.0,2026,HUMAN_OBSERVATION,iNaturalist research-grade observations,,BR
Alouatta,6430882550,"Alouatta seniculus (Linnaeus, 1766)",Alouatta seniculus,2436648,2436648,-4.36042,-73.29901,31407.0,2026,HUMAN_OBSERVATION,iNaturalist research-grade observations,,PE
Alouatta,6441974562,"Alouatta seniculus puruensis Lönnberg, 1941",Alouatta seniculus,5786096,2436648,-11.059594,-69.578758,7.0,2026,HUMAN_OBSERVATION,iNaturalist research-grade observations,,PE
Alouatta,6431047420,"Alouatta seniculus (Linnaeus, 1766)",Alouatta seniculus,2436648,2436648,-5.247587,-74.37658,4.0,2026,HUMAN_OBSERVATION,iNaturalist research-grade observations,,PE
Alouatta,6479239041,"Alouatta seniculus juara Elliot, 1910",Alouatta seniculus,4267231,2436648,-4.507101,-66.724974,474.0,2026,HUMAN_OBSERVATION,iNaturalist research-grade observations,,BR
Alouatta,6498609431,"Alouatta seniculus (Linnaeus, 1766)",Alouatta seniculus,2436648,2436648,-5.279441,-74.425381,244.0,2026,HUMAN_OBSERVATION,iNaturalist research-grade observations,,PE
