species,n_ucs_com_registro,n_registros_totais
Sapajus apella,24,97
Ateles chamek,14,81
Alouatta seniculus,14,26
Leontocebus fuscicollis,11,29
Saimiri ustus,10,28
Cebus albifrons,10,12
Lagothrix lagothricha,9,25
Pithecia irrorata,9,23
Saimiri boliviensis,8,8
Leontocebus weddelli,6,56
Plecturocebus cupreus,6,16
Cheracebus torquatus,6,11
Callimico goeldii,6,9
Cebus unicolor,6,9
Saguinus mystax,5,25
Cacajao calvus,4,23
Aotus nigriceps,4,6
Plecturocebus caligatus,4,4
Plecturocebus toppini,4,4
Mico rondoni,3,54
Chiropotes albinasus,3,16
Plecturocebus bernhardi,3,12
Saimiri macrodon,3,7
Saimiri sciureus,3,6
Pithecia albicans,3,5
Alouatta puruensis,3,3
Plecturocebus brunneus,2,48
Pithecia pithecia,2,25
Cebuella niveiventris,2,9
Plecturocebus moloch,2,9
Alouatta nigerrima,2,8
Cacajao melanocephalus,2,7
Cheracebus lugens,2,5
Mico melanurus,2,5
Saguinus imperator,2,5
Aotus trivirgatus,2,4
Ateles paniscus,2,3
Alouatta macconnelli,2,2
Aotus nancymai,2,2
Chiropotes chiropotes,2,2
Pithecia chrysocephala,2,2
Saguinus midas,2,2
Saimiri cassiquiarensis,2,2
Mico humeralifer,1,11
Alouatta caraya,1,8
Cheracebus regulus,1,5
Cacajao hosomi,1,4
Plecturocebus hoffmannsi,1,4
Aotus azarae,1,2
Ateles belzebuth,1,2
Cheracebus lucifer,1,2
Plecturocebus baptista,1,2
Plecturocebus cinerascens,1,2
Alouatta belzebul,1,1
Aotus vociferans,1,1
Cebuella pygmaea,1,1
Cebus olivaceus,1,1
Chiropotes israelita,1,1
Chiropotes sagulatus,1,1
Chiropotes satanas,1,1
Pithecia mittermeieri,1,1
Pithecia monachus,1,1
Pithecia vanzolinii,1,1
Plecturocebus miltoni,1,1
Saguinus bicolor,1,1
Saguinus labiatus,1,1
Saguinus martinsi,1,1
Saguinus niger,1,1
