nome_uc,uf,dist_fronteira_km,toca_fronteira
PARQUE NACIONAL DA SERRA DO DIVISOR,ACRE,0.0,True
RESERVA EXTRATIVISTA DO ALTO JURUÁ,ACRE,0.0,True
PARQUE NACIONAL DO PICO DA NEBLINA,AMAZONAS,0.0,True
RESERVA EXTRATIVISTA CHICO MENDES,ACRE,0.0,True
FLORESTA NACIONAL DO AMAZONAS,AMAZONAS,0.0,True
ESTAÇÃO ECOLÓGICA RIO ACRE,ACRE,0.0,True
RESERVA BIOLÓGICA DO GUAPORÉ,RONDÔNIA,0.0,True
FLORESTA NACIONAL DE SANTA ROSA DO PURUS,ACRE,0.0,True
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL FRIGONOSSO,RONDÔNIA,4.221149754863518,False
PARQUE NACIONAL MAPINGUARI,"AMAZONAS, RONDÔNIA",8.635035759338017,False
RESERVA EXTRATIVISTA DO RIO OURO PRETO,RONDÔNIA,8.783935169534294,False
ÁREA DE RELEVANTE INTERESSE ECOLÓGICO SERINGAL NOVA ESPERANÇA,ACRE,11.232114626435186,False
PARQUE NACIONAL SERRA DA CUTIA,RONDÔNIA,19.828990429608705,False
RESERVA EXTRATIVISTA BARREIRO DAS ANTAS,RONDÔNIA,24.679411563333787,False
RESERVA EXTRATIVISTA DO RIO DO CAUTÁRIO,RONDÔNIA,30.35798142850259,False
RESERVA EXTRATIVISTA DO ALTO TARAUACÁ,ACRE,45.55352398842913,False
RESERVA EXTRATIVISTA DO CAZUMBÁ-IRACEMA,ACRE,47.732798293704455,False
ESTAÇÃO ECOLÓGICA JUAMI-JAPURÁ,AMAZONAS,49.27916888225813,False
FLORESTA NACIONAL DO IQUIRI,AMAZONAS,50.93725645444749,False
FLORESTA NACIONAL DO MACAUÃ,ACRE,70.76530641836116,False
RESERVA EXTRATIVISTA ITUXÍ,AMAZONAS,80.96268805861341,False
RESERVA EXTRATIVISTA RIOZINHO DA LIBERDADE,ACRE,81.67206413593598,False
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL FAZENDA BOSCO,RONDÔNIA,91.34200526303472,False
FLORESTA NACIONAL DE SÃO FRANCISCO,ACRE,105.81211057711658,False
PARQUE NACIONAL DE PACAÁS NOVOS,RONDÔNIA,111.15861370774864,False
FLORESTA NACIONAL DO BOM FUTURO,RONDÔNIA,116.17630380712619,False
RESERVA EXTRATIVISTA ARAPIXI,AMAZONAS,150.25924993470795,False
PARQUE NACIONAL SERRA DA MOCIDADE,"AMAZONAS, RORAIMA",165.4085913650695,False
FLORESTA NACIONAL DO PURÚS,AMAZONAS,176.69390913711456,False
FLORESTA NACIONAL MAPIÁ - INAUINI,AMAZONAS,183.268383035231,False
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL ÁGUA BOA,RONDÔNIA,197.63426718075462,False
ESTAÇÃO ECOLÓGICA DE JUTAÍ-SOLIMÕES,AMAZONAS,199.94459360181068,False
ÁREA DE RELEVANTE INTERESSE ECOLÓGICO JAVARI BURITI,AMAZONAS,202.9481488875414,False
RESERVA EXTRATIVISTA DO MÉDIO PURÚS,AMAZONAS,205.23561036283033,False
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL VALE DAS ANTAS,RONDÔNIA,208.33957492017203,False
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL NOVA AURORA,RONDÔNIA,219.64883096302665,False
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL GIBEÃO,RONDÔNIA,221.0621239505248,False
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL IRMÃOS SATELIS,RONDÔNIA,223.6754513774336,False
RESERVA EXTRATIVISTA DO LAGO DO CUNIÃ,RONDÔNIA,224.77543369406493,False
ESTAÇÃO ECOLÓGICA DE CUNIÃ,"AMAZONAS, RONDÔNIA",230.4811663955602,False
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL ILHAS ALEXANDRE RODRIGUES FERREIRA,AMAZONAS,242.21329858093918,False
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL AJURICABA,AMAZONAS,242.22255622228087,False
FLORESTA NACIONAL DO JAMARI,RONDÔNIA,245.62034318464046,False
RESERVA EXTRATIVISTA DO RIO JUTAÍ,AMAZONAS,246.55825299399794,False
FLORESTA NACIONAL DE JACUNDÁ,RONDÔNIA,256.04850693438,False
RESERVA EXTRATIVISTA RIO UNINI,AMAZONAS,263.8510000668802,False
RESERVA EXTRATIVISTA DO MÉDIO JURUÁ,AMAZONAS,269.7872204904508,False
FLORESTA NACIONAL DE BALATA-TUFARI,AMAZONAS,272.93976136454324,False
RESERVA EXTRATIVISTA AUATÍ-PARANÁ,AMAZONAS,289.3994341856515,False
RESERVA BIOLÓGICA DO JARU,RONDÔNIA,303.4702578608162,False
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL SERINGAL ASSUNÇÃO,RONDÔNIA,311.97112506936395,False
RESERVA EXTRATIVISTA BAIXO RIO BRANCO-JAUAPERI,"AMAZONAS, RORAIMA",328.06575819399217,False
FLORESTA NACIONAL DE HUMAITÁ,AMAZONAS,341.6763126553633,False
PARQUE NACIONAL DOS CAMPOS AMAZÔNICOS,"AMAZONAS, MATO GROSSO, RONDÔNIA",369.43184255494384,False
PARQUE NACIONAL DO JAÚ,AMAZONAS,373.13120816449975,False
RESERVA EXTRATIVISTA DO BAIXO JURUÁ,AMAZONAS,403.40730052422344,False
FLORESTA NACIONAL DE TEFÉ,AMAZONAS,404.6573896990819,False
PARQUE NACIONAL NASCENTES DO LAGO JARI,AMAZONAS,454.15953918589616,False
RESERVA BIOLÓGICA DO UATUMÃ,AMAZONAS,499.3556747928249,False
ÁREA DE PROTEÇÃO AMBIENTAL DOS CAMPOS DE MANICORÉ,AMAZONAS,503.4042225490391,False
FLORESTA NACIONAL DO ARIPUANÃ,AMAZONAS,508.1766091152234,False
RESERVA EXTRATIVISTA DO LAGO DO CAPANÃ GRANDE,AMAZONAS,519.3910545162939,False
PARQUE NACIONAL DE ANAVILHANAS,AMAZONAS,522.609942540452,False
RESERVA BIOLÓGICA DO MANICORÉ,AMAZONAS,528.8917354166704,False
RESERVA BIOLÓGICA DO ABUFARI,AMAZONAS,535.731492196685,False
PARQUE NACIONAL DO JURUENA,"AMAZONAS, MATO GROSSO",550.9907494451833,False
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL MORADA DO SOL E DA LUA,AMAZONAS,594.7233893800145,False
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL ESTÂNCIA RIVAS,AMAZONAS,594.8464079094721,False
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RESERVA DOS QUATRO ELEMENTOS,AMAZONAS,595.0442686784453,False
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RESERVA DOS ARQUEIROS,AMAZONAS,595.0442686784453,False
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RESERVA SOL NASCENTE,AMAZONAS,595.0734380867125,False
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RESERVA DR. PHELIPPE DAOU,AMAZONAS,597.2949925353256,False
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL SANTUÁRIO,AMAZONAS,606.6698226036528,False
FLORESTA NACIONAL DO JATUARANA,AMAZONAS,614.7476952944241,False
ÁREA DE RELEVANTE INTERESSE ECOLÓGICO PROJETO DINÂMICA BIOLÓGICA DE FRAGMENTOS FLORESTAIS,AMAZONAS,619.5362488269823,False
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL SÍTIO MORADA DO SOL,AMAZONAS,625.3411242921412,False
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL LAÇO DE AMOR,AMAZONAS,672.7721533787192,False
PARQUE NACIONAL DO ACARI,AMAZONAS,698.108187546029,False
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL DR. DAISAKU IKEDA,AMAZONAS,702.5831584787819,False
REFÚGIO DE VIDA SILVESTRE DO SAUIM-DE-COLEIRA,AMAZONAS,731.8865495205303,False
FLORESTA NACIONAL DE URUPADI,AMAZONAS,794.870095463158,False
ESTAÇÃO ECOLÓGICA ALTO MAUÉS,AMAZONAS,819.0731821198722,False
FLORESTA NACIONAL DE PAU-ROSA,AMAZONAS,856.0604106106069,False
FLORESTA NACIONAL DO AMANA,"AMAZONAS, PARÁ",897.0787200722023,False
PARQUE NACIONAL DA AMAZÔNIA,"AMAZONAS, PARÁ",983.1442079375311,False
